OfferingName,ProductSkuName,Australia Central,Australia Central 2 *,Australia East,Australia Southeast,Austria East,Belgium Central,Brazil South,Brazil Southeast,Canada Central,Canada East,Central India,Central US,Chile Central,China East,China East 2,China East 3 *,China North,China North 2,China North 3,Denmark East,East Asia,East US,East US 2,East US 3,France Central,France South *,Germany North *,Germany West Central,Indonesia Central,Israel Central,Italy North,Japan East,Japan West,Korea Central,Korea South *,Malaysia West,Mexico Central,New Zealand North,Non Regional,North Central US,North Europe,Norway East,Norway West *,Poland Central,Qatar Central,South Africa North,South Africa West *,South Central US,South India,Southeast Asia,Spain Central,Sweden Central,Sweden South *,Switzerland North,Switzerland West *,Taiwan North **,UAE Central *,UAE North,UK South,UK West,USGov Arizona **,USGov Texas,USGov Virginia,West Central US,West Europe,West India *,West US,West US 2,West US 3
API Management,Offer Coverage,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,,,GA,GA,GA,GA,,,,,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
App Service,Offer Coverage,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
App Service,App Service Environments,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,,,GA,,,GA,,,GA,GA,GA,,GA,,GA,GA,,,,GA,GA,GA,GA,GA,,,,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,,,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
App Service,App Service Premium v3,,,GA,GA,,,GA,,GA,,GA,GA,GA,,,GA,,,GA,GA,GA,GA,GA,,GA,,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,,GA,,GA,GA,GA,GA,GA,,GA,,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA
Application Gateway,Offer Coverage,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,,,,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Application Gateway,Application Gateway for Containers,,,GA,,,,GA,,GA,,GA,GA,,,,,,,,,GA,GA,GA,,GA,,,GA,,,,,,GA,,,,,,GA,GA,GA,,,,,,GA,,GA,,,,GA,,,,GA,GA,,,,,,GA,,GA,GA,GA
Application Gateway,Application Gateway v2,,GA,GA,GA,GA,,GA,,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,,GA,GA,GA,,GA,GA,,GA,,GA,,GA,GA,GA,GA,,,,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,,GA,,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA
Artifact Signing,Offer Coverage,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,GA,GA,,GA,GA,GA
Automation,Offer Coverage,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,,,,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA
Automation,Change Tracking,,,Closing Down,,,,Closing Down,,Closing Down,,Closing Down,Closing Down,,,,,,,,,Closing Down,Closing Down,Closing Down,,Closing Down,,,Closing Down,,,,Closing Down,,Closing Down,,,,,,Closing Down,Closing Down,Closing Down,,,,,,Closing Down,,Closing Down,,Closing Down,,Closing Down,,,,Closing Down,Closing Down,,,,Closing Down,,Closing Down,,Closing Down,Closing Down,Closing Down
