Location,Type,DisplayName,RegionalDisplayName,RegionType,RegionCategory,Geography,GeographyGroup,Longitude,Latitude,PhysicalLocation,PairedRegion,Special Access,AvailabilityZoneSupport,AvailabilityZoneCount
australiacentral,Region,Australia Central,(Asia Pacific) Australia Central,Physical,Other,Australia,Asia Pacific,149.1244,-35.3075,Canberra,australiacentral2,,FALSE,1
australiacentral2,Region,Australia Central 2,(Asia Pacific) Australia Central 2,Physical,Other,Australia,Asia Pacific,149.1244,-35.3075,Canberra,australiacentral,TRUE,FALSE,1
australiaeast,Region,Australia East,(Asia Pacific) Australia East,Physical,Recommended,Australia,Asia Pacific,151.2094,-33.86,New South Wales,australiasoutheast,,TRUE,3
australiasoutheast,Region,Australia Southeast,(Asia Pacific) Australia Southeast,Physical,Other,Australia,Asia Pacific,144.9631,-37.8136,Victoria,australiaeast,,FALSE,1
austriaeast,Region,Austria East,(Europe) Austria East,Physical,Recommended,Austria,Europe,16.3727779,48.2092056,Vienna,,,TRUE,3
belgiumcentral,Region,Belgium Central,(Europe) Belgium Central,Physical,Recommended,Belgium,Europe,4.355707169,50.84553528,Brussels,,,TRUE,3
brazilsouth,Region,Brazil South,(South America) Brazil South,Physical,Recommended,Brazil,South America,-46.633,-23.55,Sao Paulo State,southcentralus,,TRUE,3
brazilsoutheast,Region,Brazil Southeast,(South America) Brazil Southeast,Physical,Other,Brazil,South America,-43.2075,-22.90278,Rio,brazilsouth,TRUE,FALSE,1
canadacentral,Region,Canada Central,(Canada) Canada Central,Physical,Recommended,Canada,Canada,-79.383,43.653,Toronto,canadaeast,,TRUE,3
canadaeast,Region,Canada East,(Canada) Canada East,Physical,Other,Canada,Canada,-71.217,46.817,Quebec,canadacentral,,FALSE,1
centralindia,Region,Central India,(Asia Pacific) Central India,Physical,Recommended,India,Asia Pacific,73.9197,18.5822,Pune,southindia,,TRUE,3
centralus,Region,Central US,(US) Central US,Physical,Recommended,United States,US,-93.6208,41.5908,Iowa,eastus2,,TRUE,3
centraluseuap,Region,Central US EUAP,(US) Central US EUAP,Physical,Other,Canary (US),US,-93.6208,41.5908,,eastus2euap,,FALSE,1
chilecentral,Region,Chile Central,(South America) Chile Central,Physical,Recommended,Chile,South America,-70.673676,-33.447487,Santiago,,,TRUE,3
eastasia,Region,East Asia,(Asia Pacific) East Asia,Physical,Recommended,Asia Pacific,Asia Pacific,114.188,22.267,Hong Kong,southeastasia,,TRUE,3
eastus,Region,East US,(US) East US,Physical,Recommended,United States,US,-79.8164,37.3719,Virginia,westus,,TRUE,3
eastus2,Region,East US 2,(US) East US 2,Physical,Other,United States,US,-78.3889,36.6681,Virginia,centralus,,TRUE,3
eastus2euap,Region,East US 2 EUAP,(US) East US 2 EUAP,Physical,Recommended,Canary (US),US,-78.3889,36.6681,,centraluseuap,,TRUE,4
eastusstg,Region,East US STG,(US) East US STG,Physical,Other,Stage (US),US,-79.8164,37.3719,Virginia,southcentralusstg,,FALSE,1
francecentral,Region,France Central,(Europe) France Central,Physical,Recommended,France,Europe,2.373,46.3772,Paris,francesouth,,TRUE,3
francesouth,Region,France South,(Europe) France South,Physical,Other,France,Europe,2.1972,43.8345,Marseille,francecentral,TRUE,FALSE,1
germanynorth,Region,Germany North,(Europe) Germany North,Physical,Other,Germany,Europe,8.806422,53.073635,Berlin,germanywestcentral,TRUE,FALSE,1
germanywestcentral,Region,Germany West Central,(Europe) Germany West Central,Physical,Recommended,Germany,Europe,8.682127,50.110924,Frankfurt,germanynorth,,TRUE,3
indonesiacentral,Region,Indonesia Central,(Asia Pacific) Indonesia Central,Physical,Recommended,Indonesia,Asia Pacific,106.816666,-6.2,Jakarta,,,TRUE,3
israelcentral,Region,Israel Central,(Middle East) Israel Central,Physical,Recommended,Israel,Middle East,33.4506633,31.2655698,Israel,,,TRUE,3
italynorth,Region,Italy North,(Europe) Italy North,Physical,Recommended,Italy,Europe,9.18109,45.46888,Milan,,,TRUE,3
japaneast,Region,Japan East,(Asia Pacific) Japan East,Physical,Recommended,Japan,Asia Pacific,139.77,35.68,Tokyo, Saitama,japanwest,,TRUE,3
japanwest,Region,Japan West,(Asia Pacific) Japan West,Physical,Recommended,Japan,Asia Pacific,135.5022,34.6939,Osaka,japaneast,,TRUE,3
jioindiacentral,Region,Jio India Central,(Asia Pacific) Jio India Central,Physical,Other,India,Asia Pacific,79.08886,21.146633,Nagpur,jioindiawest,,FALSE,1
jioindiawest,Region,Jio India West,(Asia Pacific) Jio India West,Physical,Other,India,Asia Pacific,70.05773,22.470701,Jamnagar,jioindiacentral,,FALSE,1
koreacentral,Region,Korea Central,(Asia Pacific) Korea Central,Physical,Recommended,Korea,Asia Pacific,126.978,37.5665,Seoul,koreasouth,,TRUE,3
koreasouth,Region,Korea South,(Asia Pacific) Korea South,Physical,Other,Korea,Asia Pacific,129.0756,35.1796,Busan,koreacentral,,FALSE,1
malaysiawest,Region,Malaysia West,(Asia Pacific) Malaysia West,Physical,Recommended,Malaysia,Asia Pacific,101.693207,3.140853,Kuala Lumpur,,,TRUE,3
mexicocentral,Region,Mexico Central,(Mexico) Mexico Central,Physical,Recommended,Mexico,Mexico,-100.389888,20.588818,Querétaro State,,,TRUE,3
newzealandnorth,Region,New Zealand North,(Asia Pacific) New Zealand North,Physical,Recommended,New Zealand,Asia Pacific,174.76349,-36.84853,Auckland,,,TRUE,3
northcentralus,Region,North Central US,(US) North Central US,Physical,Other,United States,US,-87.6278,41.8819,Illinois,southcentralus,,FALSE,1
northeurope,Region,North Europe,(Europe) North Europe,Physical,Recommended,Europe,Europe,-6.2597,53.3478,Ireland,westeurope,,TRUE,3
norwayeast,Region,Norway East,(Europe) Norway East,Physical,Recommended,Norway,Europe,10.752245,59.913868,Norway,norwaywest,,TRUE,3
norwaywest,Region,Norway West,(Europe) Norway West,Physical,Other,Norway,Europe,5.733107,58.969975,Norway,norwayeast,TRUE,FALSE,1
polandcentral,Region,Poland Central,(Europe) Poland Central,Physical,Recommended,Poland,Europe,21.01666,52.23334,Warsaw,,,TRUE,3
qatarcentral,Region,Qatar Central,(Middle East) Qatar Central,Physical,Recommended,Qatar,Middle East,51.439327,25.551462,Doha,,,TRUE,3
southafricanorth,Region,South Africa North,(Africa) South Africa North,Physical,Recommended,South Africa,Africa,28.21837,-25.73134,Johannesburg,southafricawest,,TRUE,3
southafricawest,Region,South Africa West,(Africa) South Africa West,Physical,Other,South Africa,Africa,18.843266,-34.075691,Cape Town,southafricanorth,TRUE,FALSE,1
southcentralus,Region,South Central US,(US) South Central US,Physical,Other,United States,US,-98.5,29.4167,Texas,northcentralus,,TRUE,3
southcentralusstg,Region,South Central US STG,(US) South Central US STG,Physical,Other,Stage (US),US,-98.5,29.4167,Texas,eastusstg,,FALSE,1
southeastasia,Region,Southeast Asia,(Asia Pacific) Southeast Asia,Physical,Recommended,Asia Pacific,Asia Pacific,103.833,1.283,Singapore,eastasia,,TRUE,3
southindia,Region,South India,(Asia Pacific) South India,Physical,Other,India,Asia Pacific,80.1636,12.9822,Chennai,centralindia,,FALSE,1
spaincentral,Region,Spain Central,(Europe) Spain Central,Physical,Recommended,Spain,Europe,3.4209,40.4259,Madrid,,,TRUE,3
swedencentral,Region,Sweden Central,(Europe) Sweden Central,Physical,Recommended,Sweden,Europe,17.14127,60.67488,Gävle,swedensouth,,TRUE,3
switzerlandnorth,Region,Switzerland North,(Europe) Switzerland North,Physical,Recommended,Switzerland,Europe,8.564572,47.451542,Zurich,switzerlandwest,,TRUE,3
switzerlandwest,Region,Switzerland West,(Europe) Switzerland West,Physical,Other,Switzerland,Europe,6.143158,46.204391,Geneva,switzerlandnorth,TRUE,FALSE,1
uaecentral,Region,UAE Central,(Middle East) UAE Central,Physical,Other,UAE,Middle East,54.366669,24.466667,Abu Dhabi,uaenorth,TRUE,FALSE,1
uaenorth,Region,UAE North,(Middle East) UAE North,Physical,Recommended,UAE,Middle East,55.316666,25.266666,Dubai,uaecentral,,TRUE,3
uksouth,Region,UK South,(UK) UK South,Physical,Recommended,United Kingdom,UK,-0.799,50.941,London,ukwest,,TRUE,3
ukwest,Region,UK West,(UK) UK West,Physical,Other,United Kingdom,UK,-3.084,53.427,Cardiff,uksouth,,FALSE,1
westcentralus,Region,West Central US,(US) West Central US,Physical,Other,United States,US,-110.234,40.89,Wyoming,westus2,,FALSE,1
westeurope,Region,West Europe,(Europe) West Europe,Physical,Recommended,Europe,Europe,4.9,52.3667,Netherlands,northeurope,,TRUE,3
westindia,Region,West India,(Asia Pacific) West India,Physical,Other,India,Asia Pacific,72.868,19.088,Mumbai,southindia,,FALSE,1
westus,Region,West US,(US) West US,Physical,Other,United States,US,-122.417,37.783,California,eastus,,FALSE,1
westus2,Region,West US 2,(US) West US 2,Physical,Recommended,United States,US,-119.852,47.233,Washington,westcentralus,,TRUE,3
westus3,Region,West US 3,(US) West US 3,Physical,Other,United States,US,-112.074036,33.448376,Phoenix,eastus,,TRUE,3
